created_at,entry_id,field1,field3,field6
2024-10-19T00:30:00+00:00,1002245,2197,,
2024-10-19T00:30:05+00:00,1002246,2197,,
2024-10-19T00:30:07+00:00,1002247,,0,
2024-10-19T00:30:08+00:00,1002248,2197,,
2024-10-19T00:30:11+00:00,1002249,,0,
2024-10-19T00:30:18+00:00,1002250,,0,
2024-10-19T00:30:20+00:00,1002251,,0,
2024-10-19T00:30:24+00:00,1002252,,0,
2024-10-19T00:30:25+00:00,1002253,2197,,
2024-10-19T00:30:28+00:00,1002254,,0,
2024-10-19T00:30:29+00:00,1002255,2197,,
2024-10-19T00:30:35+00:00,1002256,,0,
2024-10-19T00:30:36+00:00,1002257,2197,,
2024-10-19T00:30:38+00:00,1002258,,0,
2024-10-19T00:30:40+00:00,1002259,2197,,
2024-10-19T00:30:43+00:00,1002260,,0,
2024-10-19T00:30:44+00:00,1002261,2197,,
2024-10-19T00:30:48+00:00,1002262,,0,
2024-10-19T00:30:52+00:00,1002263,2197,,
2024-10-19T00:30:56+00:00,1002264,,0,
2024-10-19T00:31:00+00:00,1002265,,0,
2024-10-19T00:31:01+00:00,1002266,2197,,
2024-10-19T00:31:04+00:00,1002267,,0,
2024-10-19T00:31:06+00:00,1002268,,0,
2024-10-19T00:31:08+00:00,1002269,2197,,
2024-10-19T00:31:10+00:00,1002270,,0,
2024-10-19T00:31:16+00:00,1002271,,0,
2024-10-19T00:31:19+00:00,1002272,,0,
2024-10-19T00:31:20+00:00,1002273,2197,,
2024-10-19T00:31:24+00:00,1002274,,0,
2024-10-19T00:31:28+00:00,1002275,2197,,
2024-10-19T00:31:37+00:00,1002276,,0,
2024-10-19T00:31:40+00:00,1002277,,0,
2024-10-19T00:31:42+00:00,1002278,,0,
2024-10-19T00:31:44+00:00,1002279,2197,,
2024-10-19T00:31:46+00:00,1002280,,0,
2024-10-19T00:31:48+00:00,1002281,2197,,
2024-10-19T00:31:51+00:00,1002282,,0,
2024-10-19T00:31:57+00:00,1002283,,0,
2024-10-19T00:32:00+00:00,1002284,,0,
2024-10-19T00:32:04+00:00,1002285,,0,
2024-10-19T00:32:08+00:00,1002286,,0,
2024-10-19T00:32:09+00:00,1002287,2197,,
2024-10-19T00:32:14+00:00,1002288,2197,,
2024-10-19T00:32:16+00:00,1002289,,0,
2024-10-19T00:32:18+00:00,1002290,,0,
2024-10-19T00:32:20+00:00,1002291,2197,,
2024-10-19T00:32:25+00:00,1002292,2197,,
2024-10-19T00:32:27+00:00,1002293,,0,
2024-10-19T00:32:28+00:00,1002294,2197,,
2024-10-19T00:32:31+00:00,1002295,,0,
2024-10-19T00:32:37+00:00,1002296,2197,,
2024-10-19T00:32:40+00:00,1002297,,0,
2024-10-19T00:32:44+00:00,1002298,,0,
2024-10-19T00:32:45+00:00,1002299,2197,,
2024-10-19T00:32:48+00:00,1002300,,0,
2024-10-19T00:32:50+00:00,1002301,,0,
2024-10-19T00:32:56+00:00,1002302,,0,
2024-10-19T00:32:59+00:00,1002303,,0,
2024-10-19T00:33:00+00:00,1002304,2197,,
2024-10-19T00:33:03+00:00,1002305,,0,
2024-10-19T00:33:04+00:00,1002306,2197,,
2024-10-19T00:33:08+00:00,1002307,,0,
2024-10-19T00:33:12+00:00,1002308,,0,
2024-10-19T00:33:16+00:00,1002309,,0,
2024-10-19T00:33:17+00:00,1002310,2197,,
2024-10-19T00:33:20+00:00,1002311,,0,
2024-10-19T00:33:21+00:00,1002312,2197,,
2024-10-19T00:33:24+00:00,1002313,,0,
2024-10-19T00:33:26+00:00,1002314,,0,
2024-10-19T00:33:28+00:00,1002315,2197,,
2024-10-19T00:33:30+00:00,1002316,,0,
2024-10-19T00:33:36+00:00,1002317,,0,
2024-10-19T00:33:39+00:00,1002318,,0,
2024-10-19T00:33:40+00:00,1002319,2197,,
2024-10-19T00:33:44+00:00,1002320,,0,
2024-10-19T00:33:48+00:00,1002321,2197,,
2024-10-19T00:33:54+00:00,1002322,2197,,
2024-10-19T00:33:56+00:00,1002323,,0,
2024-10-19T00:34:02+00:00,1002324,,0,
2024-10-19T00:34:04+00:00,1002325,2197,,
2024-10-19T00:34:06+00:00,1002326,,0,
2024-10-19T00:34:08+00:00,1002327,2197,,
2024-10-19T00:34:11+00:00,1002328,,0,
2024-10-19T00:34:16+00:00,1002329,2197,,
2024-10-19T00:34:20+00:00,1002330,,0,
2024-10-19T00:34:24+00:00,1002331,,0,
2024-10-19T00:34:28+00:00,1002332,,0,
2024-10-19T00:34:29+00:00,1002333,2197,,
2024-10-19T00:34:34+00:00,1002334,,0,
2024-10-19T00:34:36+00:00,1002335,2197,,
